latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,date_end,date_complete,brightness,bright_t31
44.82204,-1.1775,300.98,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,285.54,1.08,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82217,-1.12474,322.49,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,281.5,6.04,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82231,-1.13142,333.45,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,283.68,6.04,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82246,-1.13812,345.54,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,296.39,34.56,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.8226,-1.14482,351.53,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,303.52,34.56,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82274,-1.15151,367.0,0.52,0.67,2026-07-23,105,N20,VIIRS,h,2.0NRT,285.96,10.37,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82289,-1.1582,325.08,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,286.0,10.37,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82304,-1.16487,315.11,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,287.23,1.88,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82318,-1.17154,307.52,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,286.8,1.88,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82665,-1.08349,297.52,0.51,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,276.77,0.99,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82676,-1.09014,301.42,0.51,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,277.83,1.45,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82688,-1.09681,307.33,0.52,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,277.09,1.45,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
44.82699,-1.10347,315.93,0.52,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,278.04,3.39,N,2026-07-24 14:23:35,2026-07-23 03:05:00,,
